[REACH] 2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB

Date/Time Generated,5/15/23 5:48 AM
Report Time Zone,America/Chicago
Account ID,1153793
Date Range,4/6/23 - 5/14/23
Campaign,Equals:2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB (29263909)
Advertiser,Equals:Consumer Small Business_UK (12387083)
MRC Accredited Metrics,None,Active View metrics are accredited only when Measurement Source = Measured
"Reporting numbers are finalized after seven days, unless communicated otherwise."

Report Fields
Country,Advertiser,Campaign,Placement,Date,Unique Reach: Impression Reach (Co-Viewed),Unique Reach: Click Reach,Unique Reach: Total Reach (Co-Viewed),Unique Reach: Average Impression Frequency (Co-Viewed)
Denmark,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x250_DCPM_INTEL CCF_STD_FY24Q1_NA_UK CSB_RETARGETING-ZEOTAP-TEST,2023-05-01,-,0,-,-
Denmark,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x50_DCPM_INTEL CCF_STD_FY24Q1_NA_UK CSB_RETARGETING-ZEOTAP-TEST,2023-05-01,-,0,-,-
Denmark,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x600_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC,2023-05-10,-,0,-,-
Denmark,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x600_DCPM_INTEL CCF_STD_FY24Q1_NA_UK CSB_RETARGETING-ZEOTAP-TEST,2023-04-14,-,0,-,-
Falkland Islands,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_160x600_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC,2023-05-11,-,0,-,-
France,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_160x600_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_CATEGORY-ODC,2023-05-12,-,0,-,-
France,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_160x600_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC,2023-05-06,-,0,-,-
France,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x250_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_CATEGORY-ODC,2023-04-26,-,0,-,-
France,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x250_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_HOMEPAGE-ODC-TEST,2023-04-07,-,0,-,-
France,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x250_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_HOMEPAGE-ODC-TEST,2023-04-10,-,0,-,-
France,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x250_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC,2023-04-14,-,0,-,-
France,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x250_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC,2023-05-12,-,0,-,-
France,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x250_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC-TEST,2023-04-12,-,0,-,-
France,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x250_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC-TEST,2023-04-30,-,0,-,-
France,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x50_DCPM_INTEL CCF_STD_FY24Q1_NA_UK CSB_RETARGETING-AIQ-TEST,2023-05-02,-,0,-,-
France,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x600_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC,2023-04-19,-,0,-,-
France,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x600_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC,2023-04-20,-,0,-,-
France,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x600_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC,2023-05-04,-,0,-,-
France,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x600_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC,2023-05-06,-,0,-,-
France,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x600_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC,2023-05-10,-,0,-,-
France,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x600_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC,2023-05-12,-,0,-,-
France,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_320x50_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_CATEGORY-ODC,2023-05-04,-,0,-,-
France,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_320x50_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC,2023-05-01,-,0,-,-
France,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_320x50_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC-TEST,2023-04-13,-,0,-,-
France,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_728x90_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_HOMEPAGE-ODC-TEST,2023-04-25,-,0,-,-
France,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_728x90_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC,2023-04-26,-,0,-,-
France,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_728x90_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC-TEST,2023-04-21,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_160x600_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_HOMEPAGE-ODC,2023-04-21,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_160x600_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC,2023-04-20,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_160x600_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC,2023-04-21,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x250_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC,2023-04-20,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x250_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC-TEST,2023-04-21,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x250_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC-TEST,2023-04-23,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x250_DCPM_INTEL CCF_STD_FY24Q1_NA_UK CSB_RETARGETING-AIQ-TEST,2023-04-21,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x250_DCPM_INTEL CCF_STD_FY24Q1_NA_UK CSB_RETARGETING-AIQ-TEST,2023-04-23,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x250_DCPM_INTEL CCF_STD_FY24Q1_NA_UK CSB_RETARGETING-AIQ-TEST,2023-04-24,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x250_DCPM_INTEL CCF_STD_FY24Q1_NA_UK CSB_RETARGETING-AIQ-TEST,2023-05-08,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x250_DCPM_INTEL CCF_STD_FY24Q1_NA_UK CSB_RETARGETING-ZEOTAP-TEST,2023-04-23,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x250_DCPM_INTEL CCF_STD_FY24Q1_NA_UK CSB_RETARGETING-ZEOTAP-TEST,2023-04-24,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x250_DCPM_INTEL CCF_STD_FY24Q1_NA_UK CSB_RETARGETING-ZEOTAP-TEST,2023-04-28,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x250_DCPM_INTEL CCF_STD_FY24Q1_NA_UK CSB_RETARGETING-ZEOTAP-TEST,2023-05-02,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x50_DCPM_INTEL CCF_STD_FY24Q1_NA_UK CSB_RETARGETING-AIQ-TEST,2023-04-21,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x50_DCPM_INTEL CCF_STD_FY24Q1_NA_UK CSB_RETARGETING-AIQ-TEST,2023-04-22,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x50_DCPM_INTEL CCF_STD_FY24Q1_NA_UK CSB_RETARGETING-AIQ-TEST,2023-04-23,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x50_DCPM_INTEL CCF_STD_FY24Q1_NA_UK CSB_RETARGETING-AIQ-TEST,2023-04-28,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x600_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_BASKET-ODC,2023-04-26,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x600_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_BASKET-ODC,2023-05-09,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x600_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC,2023-04-26,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x600_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC,2023-05-09,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x600_DCPM_INTEL CCF_STD_FY24Q1_NA_UK CSB_RETARGETING-AIQ-TEST,2023-04-22,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x600_DCPM_INTEL CCF_STD_FY24Q1_NA_UK CSB_RETARGETING-AIQ-TEST,2023-04-23,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x600_DCPM_INTEL CCF_STD_FY24Q1_NA_UK CSB_RETARGETING-ZEOTAP-TEST,2023-04-23,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x600_DCPM_INTEL CCF_STD_FY24Q1_NA_UK CSB_RETARGETING-ZEOTAP-TEST,2023-04-28,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x600_DCPM_INTEL CCF_STD_FY24Q1_NA_UK CSB_RETARGETING-ZEOTAP-TEST,2023-05-02,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_320x50_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC-TEST,2023-04-21,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_728x90_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_CATEGORY-ODC,2023-05-08,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_728x90_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_CATEGORY-ODC,2023-05-10,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_728x90_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_HOMEPAGE-ODC,2023-05-09,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_728x90_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_HOMEPAGE-ODC,2023-05-10,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_728x90_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC,2023-04-20,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_728x90_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC-TEST,2023-04-12,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_728x90_DCPM_INTEL CCF_STD_FY24Q1_NA_UK CSB_RETARGETING-AIQ-TEST,2023-04-23,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_728x90_DCPM_INTEL CCF_STD_FY24Q1_NA_UK CSB_RETARGETING-ZEOTAP-TEST,2023-04-23,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_728x90_DCPM_INTEL CCF_STD_FY24Q1_NA_UK CSB_RETARGETING-ZEOTAP-TEST,2023-04-24,-,0,-,-
Germany,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_728x90_DCPM_INTEL CCF_STD_FY24Q1_NA_UK CSB_RETARGETING-ZEOTAP-TEST,2023-05-02,-,0,-,-
Gibraltar,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x600_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_CATEGORY-ODC-TEST,2023-04-18,-,0,-,-
Gibraltar,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x600_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_HOMEPAGE-ODC-TEST,2023-04-18,-,0,-,-
Gibraltar,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x600_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_HOMEPAGE-ODC-TEST,2023-04-19,-,0,-,-
Gibraltar,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x600_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_HOMEPAGE-ODC-TEST,2023-04-20,-,0,-,-
Gibraltar,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x600_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_HOMEPAGE-ODC-TEST,2023-04-21,-,0,-,-
Gibraltar,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x600_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_HOMEPAGE-ODC-TEST,2023-04-24,-,0,-,-
Greece,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_160x600_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC,2023-04-06,-,0,-,-
Greece,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x250_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC,2023-05-14,-,0,-,-
Greece,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_320x50_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC,2023-05-14,-,0,-,-
Guatemala,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x250_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC,2023-05-09,-,0,-,-
Hungary,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x250_DCPM_INTEL CCF_STD_FY24Q1_NA_UK CSB_RETARGETING-ZEOTAP-TEST,2023-04-22,-,0,-,-
Hungary,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x600_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC,2023-04-26,-,0,-,-
Hungary,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_320x50_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_HOMEPAGE-ODC,2023-05-10,-,0,-,-
Hungary,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_320x50_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC-TEST,2023-04-29,-,0,-,-
Hungary,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_728x90_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC-TEST,2023-04-21,-,0,-,-
India,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_160x600_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_HOMEPAGE-ODC,2023-04-06,-,0,-,-
India,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_160x600_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_HOMEPAGE-ODC,2023-05-11,-,0,-,-
India,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x250_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_HOMEPAGE-ODC,2023-05-02,-,0,-,-
India,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x250_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_HOMEPAGE-ODC,2023-05-03,-,0,-,-
India,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x250_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC,2023-04-17,-,0,-,-
India,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x250_DCPM_INTEL CCF_STD_FY24AO_NA_UK CSB_PRODUCT-ODC,2023-05-04,-,0,-,-
India,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x250_DCPM_INTEL CCF_STD_FY24Q1_NA_UK CSB_RETARGETING-AIQ-TEST,2023-05-11,-,0,-,-
India,Consumer Small Business_UK,2024_AO_UK_CSBO-CSB_BSP_DISPLAY-DCO_RETARGETING_CSB,DV360_RETARGET-1PD RETARGET_DCO-DISPLAY_300x250_DCPM_INTEL CCF_STD_FY24Q1_NA_UK CSB_RETARGETING-AIQ-TEST,2023-05-12,-,0,-,-
